ID	caatinga_metaphlan	praia_metaphlan	rumen_metaphlan	yanomami_metaphlan
k__Archaea	0.0	0.0	0.0	34.55887
k__Archaea|p__Euryarchaeota	0.0	0.0	0.0	34.55887
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.0	0.0	0.0	34.55887
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.0	0.0	0.0	34.55887
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.0	0.0	0.0	34.55887
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.0	0.0	0.0	34.55887
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0.0	0.0	0.0	34.55887
k__Bacteria	100.0	98.83289	100.0	65.44113
k__Bacteria|p__Actinobacteria	60.60612	8.42682	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.98658	8.42682	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Candidatus_Nanopelagicales	0.0	0.15867	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Candidatus_Nanopelagicales|f__Candidatus_Nanopelagicaceae	0.0	0.15867	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Candidatus_Nanopelagicales|f__Candidatus_Nanopelagicaceae|g__Candidatus_Planktophila	0.0	0.15867	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Candidatus_Nanopelagicales|f__Candidatus_Nanopelagicaceae|g__Candidatus_Planktophila|s__Candidatus_Planktophila_vernalis	0.0	0.15867	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	0.0	1.65002	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	0.0	1.65002	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	0.0	1.65002	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_kroppenstedtii	0.0	1.65002	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Geodermatophilales	0.26945	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Geodermatophilales|f__Geodermatophilaceae	0.26945	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Geodermatophilales|f__Geodermatophilaceae|g__Geodermatophilus	0.26945	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Geodermatophilales|f__Geodermatophilaceae|g__Geodermatophilus|s__Geodermatophilus_obscurus	0.26945	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	0.0	6.61813	0.0	0.0
