SRR11041080.2178_2178_length=300	839__D5EY79__PRU_2798
SRR11041080.2524_2524_length=301	1526__A0A1I6IHT6__SAMN02910262_00369
SRR11041080.4974_4974_length=300	839__D5EZB1__SAMN02745192_1269
SRR11041080.8455_8455_length=300	46206__A0A1H7GWP3__SAMN02910411_0467
SRR11041080.14751_14751_length=300	839__D5ETH3__SAMN04488493_10351
SRR11041080.15601_15601_length=301	910473__GeneID:10323872
SRR11041080.20084_20084_length=301	293939__A0A0S7DXK2__ALT_7486
SRR11041080.20282_20282_length=301	839__D5ESM4__SAMN04488493_102481
SRR11041080.20793_20793_length=301	1520830__A0A1K1LIT3__SAMN02910409_0209
SRR11041080.21265_21265_length=300	839__D5ES73__PRU_1157
SRR11041080.21454_21454_length=301	839__D5EXG6__PRU_2662
SRR11041080.21633_21633_length=301	910473__GeneID:10323854
SRR11041080.22546_22546_length=301	839__D5ETJ1__SAMN04488493_10331
SRR11041080.25605_25605_length=301	839__D5EYH1__SAMN02745192_1341
SRR11041080.26512_26512_length=246	77095__D8DT04__PBR_0498
SRR11041080.26600_26600_length=301	1761889__A0A1I5LPK2__SAMN04487852_11240
SRR11041080.27715_27715_length=300	839__A0A1H4D4Y5__PRU_0620
SRR11041080.28453_28453_length=232	1761887__A0A1H8DA92__SAMN04487902_10674
SRR11041080.29277_29277_length=300	910473__GeneID:10323873
SRR11041080.30307_30307_length=301	839__D5EWF8__SAMN05216462_0625
SRR11041080.32134_32134_length=244	1747__W4TPW0__HMPREF9205_0525
SRR11041080.34798_34798_length=301	839__D5EX80__SAMN04488494_1640
SRR11041080.35773_35773_length=301	910473__GeneID:10323873
SRR11041080.36443_36443_length=247	839__D5ETB9__SAMN04488493_10398
SRR11041080.38905_38905_length=264	839__A0A1M7MBU1__SAMN02745192_0146
SRR11041080.48325_48325_length=301	1520830__A0A1K1PAU9__SAMN02910409_2359
SRR11041080.49257_49257_length=301	971__A0A1H0PXT8__SAMN05216366_10640
SRR11041080.50560_50560_length=301	1855373__A0A1G7UCG8__SAMN05216518_13232
SRR11041080.53322_53322_length=301	839__D5ETK5__SAMN02745192_0517
SRR11041080.54217_54217_length=300	839__D5ETG3__SAMN04488494_1393
SRR11041080.59513_59513_length=286	839__D5EU64__SAMN05216462_1638
